uniqueID,city,lat,lon,AvgComTime2010,AvgComTime2011,AvgComTime2012,AvgComTime2013,AvgComTime2014,AvgComTime2015,AvgComTime2016,AvgComTime2017,AvgComTime2018,AvgComTime2019,,,,,,
1,Minneapolis,44.9772995,-93.2654692,22.3,22.2,22.7,22.2,23.5,22.9,22.4,23.5,23.5,24.1,,,,,,
2,St. Paul,44.9497487,-93.0931028,22.4,22.3,22.6,23.1,23.4,24.4,24.4,23.7,24,24.3,,,,,,data source: https://data.census.gov/all?q=commute+in+minneapolis+in+2010
3,Duluth,46.7729322,-92.1251218,17.2,16.7,16.6,16.4,17.7,16.8,15.7,16.8,16.7,16.8,,,,,,
4,Bloomington,44.8322405,-93.3204872,20.6,21.4,21.6,22.5,21.8,21,22.6,21.6,22.9,22.6,,,,,,
5,Brooklyn Park,45.1004807,-93.3443585,24.3,26,25.1,25.3,26,25.4,26.5,25.7,26.1,24.2,,,,,,
6,Maple Grove,45.0984983,-93.4419222,25.3,25.6,25.7,26.2,26.9,25.8,27.7,24.8,24.9,26.6,,,,,,
7,St. Cloud,45.5616075,-94.1642004,16.6,17.6,19.7,16.5,16.3,18.2,16.9,18.3,19.5,19.9,,,,,,
8,Eagan,44.818173,-93.1659179,23.1,23.7,23.5,24.1,24.6,23.8,23.7,23.3,26.8,23.3,,,,,,
9,Lakeville,44.650051,-93.2432791,26,26.4,26,25.8,25.4,25.3,25.1,26.1,27.3,27,,,,,,
10,Blaine,45.1607987,-93.2349489,26.9,27,26.6,26.6,26.5,26.5,26.6,26.4,23.8,26.5,,,,,,
11,Eden Prairie,44.8546856,-93.470786,20.8,21.3,21.2,21.9,22.1,22.4,22,22.7,23.4,23.8,,,,,,
12,Coon Rapids,45.1728923,-93.3023898,24.7,25.2,25.7,26.3,26.2,26.6,26.4,26.4,26.4,25.9,,,,,,
13,Burnsville,44.7670567,-93.2773887,23.6,23.4,23.6,23.2,23.4,23.4,23.6,23.9,24.3,24.3,,,,,,
14,Minnetonka,44.9405086,-93.4638936,19.6,19.9,20.4,20.8,21.6,21.6,22.2,22.7,22.5,22.5,,,,,,
15,Edina,44.8897027,-93.3501222,19.8,20.2,20.4,20.9,20.8,20.3,20.7,20.8,20.9,21.3,,,,,,
